city_code,city_name
AAE,安纳巴
AAL,奥尔堡
AAN,艾因
AAQ,阿那帕
AAR,奥胡斯
ABE,阿伦敦
ABI,阿比林
ABJ,阿比让
ABL,安布勒
ABQ,阿尔伯克基
ABR,阿伯丁
ABV,阿布贾
ABY,奥尔巴尼
ACA,阿卡普尔科
ACC,阿克拉
ACE,兰萨罗特
ACH,阿尔滕莱茵
ACK,楠塔基特岛
ACT,韦科
ACV,阿克塔
ADA,阿达那
ADL,阿德莱德
ADQ,科迪亚克
ADZ,圣安德烈斯岛
AER,阿德列尔
AES,奥勒松
AET,阿拉卡基特
AEX,亚历山大
AEY,阿克雷里
AGA,阿加迪尔
AGB,奥格斯堡
AGH,赫尔辛堡
AGP,马拉加
AGR,阿格拉
AGS,奥古斯塔
AGU,阿瓜斯卡连特斯
AHO,阿尔盖罗
AIY,大西洋城
AJA,阿雅克肖
AJU,阿拉卡茄
AKB,阿特卡
AKI,阿基亚克
AKJ,旭川
AKK,阿克希奥克
AKN,金萨蒙
AKP,阿纳克图沃克
AKV,阿库里维克
ALC,阿利坎特
ALF,阿尔塔
ALG,阿尔及尔
ALM,阿拉莫戈多
ALO,滑铁卢
ALS,阿拉莫萨
AMA,阿马里洛
AMD,艾哈迈达巴德
AMM,安曼
ANC,安克雷奇
ANF,安托法加斯塔
ANI,阿尼亚克
ANK,安卡拉
ANR,安特卫普
ANU,安提瓜
ANV,安维克
AOI,安科纳
AOO,阿尔托纳
APN,阿尔皮纳
APW,阿皮亚
AQJ,亚喀巴
ARB,安阿伯
ARC,北极村
ARH,阿尔汉格尔斯克
ARI,阿里卡
ARK,阿鲁沙
ART,沃特敦
ASB,阿什贾巴特
ASE,阿斯彭
ASF,阿斯特拉罕
ASP,艾丽斯斯普林斯
ASR,开塞利
ASU,亚松森
ASW,阿斯旺
ATK,阿特卡什克
ATQ,阿姆利则
ATW,阿普尔顿
AUA,阿鲁巴
AUK,阿拉克纳克
AUS,奥斯汀
AUW,沃索
AVL,阿什维尔
AVN,亚维侬
AVP,威尔克斯巴里
AXD,亚历山德鲁波利斯
AXM,阿尔梅尼亚
AYQ,艾尔斯岩
AYT,安塔利亚
AZO,卡拉马祖
AZS,萨马纳
BAH,巴林
BAK,巴库
BAQ,巴兰基亚
BAX,巴尔瑙尔
BBA,巴尔马塞达
BBI,布巴内斯瓦尔
BCB,布莱克斯堡
BDA,百慕大
BDO,万隆
BDQ,瓦多达拉
BDS,布林迪西
BDU,巴尔杜福斯
BEB,本贝库拉
BED,贝德福德
BEG,贝尔格莱德
BET,贝瑟尔
BEY,贝鲁特
BFE,布勒费尔德
BFF,斯科茨布拉夫
BFL,贝克斯菲尔德
BFN,布隆方丹
BFS,贝尔法斯特
BFV,武里南
BGA,布卡拉曼加
BGI,布里奇敦
BGM,宾厄姆顿
BGO,卑尔根
BHB,巴港
BHE,布连海姆
BHU,包纳加尔
BHX,伯明翰
BHZ,贝洛奥里藏特
BIA,巴斯蒂亚
BIO,毕尔巴鄂
BIQ,比亚里茨
BIS,俾斯麦
BIU,比尔都达勒尔
BJI,伯米吉
BJL,班珠尔
BJM,布琼布拉
BJX,莱昂
BKI,哥打京那巴鲁
BKW,贝克利
BLB,巴尔博亚
BLF,布尔菲尔德
BLI,贝灵厄姆
BLK,布莱克普尔
BLL,比隆
BLQ,博洛尼亚
BLR,班加罗尔
BMI,布卢明顿诺马尔
BNA,纳什维尔
BNE,布里斯班
BNK,巴利那
BNN,布伦讷于松
BOD,波尔多
BOG,波哥大
BOH,伯恩茅斯
BOI,博伊西
BOJ,布加斯
BOO,博多
BPS,塞古鲁港
BPT,博蒙特
BRC,圣卡洛斯.德巴里洛切
BRD,布雷纳德
BRE,不来梅
BRI,巴里
BRL,伯灵顿
BRN,伯尔尼
BRO,布朗斯维尔
BRQ,布尔诺
BRR,巴拉
BRS,布里斯托尔
BRW,巴罗
BSB,巴西利亚
BSL,巴塞尔
BTH,巴淡岛
BTI,巴特岛
BTL,巴特尔克里克
BTR,巴吞鲁日
BTS,布拉迪斯拉发
BTT,贝特尔斯
BUD,布达佩斯
BUE,布宜诺斯艾利斯
BUF,布法罗
BUH,布加勒斯特
BUR,伯班克
BUS,巴统
BVC,博阿维斯塔
BVO,巴特尔斯维尔
BVX,贝茨维尔
BWE,布劳恩史维希
BWI,巴尔的摩
BWN,斯里巴加湾市
BXN,博德鲁姆
BZG,比得哥什
BZR,贝济耶
CAE,哥伦比亚
CAG,卡利亚里
CAK,阿克伦/坎通
CAL,坎贝尔镇
CAS,卡萨布兰卡
CBG,剑桥
CBR,堪培拉
CCC,科科岛
CCJ,科泽科德
CCP,康塞普西翁
CCS,加拉加斯
CCU,加尔各答
CDB,科尔德湾
CDC,锡达城
CDR,沙德伦
CDV,科尔多瓦
CEB,宿务
CEC,克雷申特城
CEE,切列波维茨
CEI,清莱
CEK,车里雅宾斯克
CEZ,科特斯
CFB,寒冷角
CFN,多尼戈尔
CFU,克基拉
CGB,库亚巴
CGI,开普吉拉多
CGN,科隆
CGP,吉大港
CHA,查塔努加
CHC,基督城
CHO,夏洛茨维尔
CHQ,干尼亚
CHS,查尔斯顿
CHU,乔阿特巴芦克
CIC,奇科
CID,锡达拉皮兹
CIK,查尔基齐克
CIT,奇穆肯特
CJB,哥印拜陀
CJC,卡拉马
CJM,青蓬
CJS,华雷斯城
CKB,克拉克斯堡
CKD,克鲁克特城
CKX,奇金
CLE,克里夫兰
CLJ,克卢日
CLL,克利奇站
CLM,安吉利斯港
CLO,卡利
CLP,克拉克斯波因特
CLT,夏洛特
CMF,尚贝里
CMH,哥伦布
CMI,尚佩恩
CMX,汉考克
CNM,卡尔斯巴德
CNS,凯恩斯
CNY,莫阿布
COK,库奇
COS,科罗拉多斯普林
CPE,坎佩切
CPR,卡斯珀
CPT,开普敦
CRP,科珀斯克里斯蒂
CRV,克罗托内
CSL,圣路易斯-奥比斯波
CTA,卡塔尼亚
CTG,卡塔赫纳
CUL,库利阿坎
CUN,坎昆
CUR,库拉索（加勒比）
CUU,奇瓦瓦
CUZ,库斯科
CVG,辛辛那提
CVN,克洛维斯
CWB,库里蒂巴
CWL,加帝夫
CXB,科克斯巴扎尔
CXJ,南卡希亚斯
CYS,夏延
CZM,科苏梅尔
Changhai,长海
DAB,代托纳比奇
DAC,达卡
DAD,岘港
DAR,达累斯萨拉姆
DAY,代顿
DBQ,迪比克
DBV,杜布罗夫尼克
DDC,道奇城
DEC,迪凯特
DED,台拉登
DEN,丹佛
DGT,杜马格特
DHN,多森
DIJ,迪戎
DIK,迪金逊
DIN,奠边府
DIU,第乌
DJE,查尔巴
DKR,达喀尔
DLG,迪灵汗
DLH,德芦斯
DLI,大叻
DLM,达拉曼
DMM,达曼
DND,邓迪
DNK,第聂伯罗彼得罗夫斯克
DNZ,代尼兹利
DOL,多维尔
DRO,杜兰戈
DRS,德雷斯顿
DRT,德里奥
DRW,达尔文
DSA,唐克斯特
DSM,得梅因
DTM,多特蒙德
DUB,都柏林
DUD,达尼丁
DUJ,杜波依斯
DUR,德班
DUS,杜塞尔多夫
DUT,荷兰港
DVL,德弗尔斯莱克
DYU,杜尚别
Dazu,大足
EAR,卡尼
EAS,圣塞瓦斯蒂安
EAT,文纳奇
EAU,欧克莱尔
EBB,恩德培
EBJ,埃斯比约
ECN,埃阿坎
EDI,爱丁堡
EEK,伊克
EFL,凯法利尼亚
EGC,贝尔热拉克
EGE,韦尔
EGS,埃吉尔斯塔第尔
EGV,伊格尔里弗
EGX,伊杰吉克
EIN,爱因霍温
EKO,埃尔科
ELD,埃尔多拉多
ELI,埃利姆
ELM,艾尔迈拉
ELP,埃尔帕索
EMK,埃莫纳克
ENA,基奈
EOI,埃代岛
EPR,埃斯佩兰斯
ERF,爱尔福特
ERI,伊利
ESC,埃斯卡纳巴
ESD,东松德
ESK,埃斯基谢希尔
ESU,索维拉
ETH,埃拉特
EUG,尤金
EVN,埃里温
EVV,埃文斯维尔
EWB,新贝德福德
EXT,埃克塞特
EYW,基韦斯特
FAB,法恩伯勒
FAE,法罗群岛
FAI,费尔班克斯
FAO,法鲁
FAR,法戈
FAT,弗雷斯诺
FAY,费耶特维尔
FBM,卢本巴希
FDH,腓特烈港
FEN,费.努罗尼亚
FEZ,非斯
FKB,卡尔斯鲁厄
FKL,富兰克林
FLG,费拉格尔斯塔夫
FLL,劳德代尔
FLN,弗卢里亚诺波利斯
FLO,弗洛伦斯
FLR,佛罗伦萨
FMN,法明顿
FMO,蒙斯特
FMY,迈尔斯堡
FNA,费里敦
FNC,丰沙尔
FNI,尼姆
FNT,弗林特
FOR,福塔莱萨
